"";"igralci";"drzava";"letnica.rojstva";"mesec.rojstva";"visina";"streli";"goli";"asistence";"tocke";"procent.strela";"igralni.polozaj";"odigrane.tekme"
"1";"Aaron Ekblad";"CAN";1996;2;76;170;12;27;39;7,06;"D";81
"2";"Adam Burish";"USA";1983;1;73;22;1;2;3;4,55;"R";20
"3";"Adam Clendening";"USA";1992;10;72;17;1;3;4;5,88;"D";21
"4";"Adam Cracknell";"CAN";1985;7;74;17;0;1;1;0;"R";17
"5";"Adam Henrique";"CAN";1990;2;72;127;16;27;43;12,6;"C";75
"6";"Adam Larsson";"SWE";1992;11;75;91;3;21;24;3,3;"D";64
"7";"Adam Lowry";"USA";1993;3;77;104;11;12;23;10,58;"C";80
"8";"Adam McQuaid";"CAN";1986;10;76;60;1;6;7;1,67;"D";63
"9";"Adam Pardy";"CAN";1984;3;76;29;0;9;9;0;"D";55
"10";"Alec Martinez";"USA";1987;7;73;103;6;16;22;5,83;"D";56
"11";"Aleksander Barkov";"FIN";1995;9;75;123;16;20;36;13,01;"C";71
"12";"Ales Hemsky";"CZE";1983;8;72;140;11;21;32;7,86;"R";76
"13";"Alex Chiasson";"CAN";1990;10;75;105;11;15;26;10,48;"R";76
"14";"Alex Galchenyuk";"USA";1994;2;73;163;20;26;46;12,27;"C";80
"15";"Alex Goligoski";"USA";1985;7;71;122;4;32;36;3,28;"D";81
"16";"Alex Killorn";"CAN";1989;9;74;130;15;23;38;11,54;"C";71
"17";"Alex Ovechkin";"RUS";1985;9;75;395;53;28;81;13,42;"L";81
"18";"Alex Petrovic";"CAN";1992;3;76;29;0;3;3;0;"D";33
"19";"Alex Pietrangelo";"CAN";1990;1;75;195;7;39;46;3,59;"D";81
"20";"Alex Tanguay";"CAN";1979;11;73;104;22;33;55;21,15;"L";80
"21";"Alexander Edler";"SWE";1986;4;75;175;8;23;31;4,57;"D";74
"22";"Alexander Semin";"RUS";1984;3;74;93;6;13;19;6,45;"R";57
"23";"Alexander Steen";"CAN";1984;3;71;223;24;40;64;10,76;"L";74
"24";"Alexander Wennberg";"SWE";1994;9;73;85;4;16;20;4,71;"C";68
"25";"Alexandre Burrows";"CAN";1981;4;73;145;18;15;33;12,41;"R";70
"26";"Alexei Emelin";"RUS";1986;4;74;43;3;11;14;6,98;"D";68
"27";"Anders Lee";"USA";1990;7;75;197;25;16;41;12,69;"L";76
"28";"Andre Benoit";"CAN";1984;1;71;45;1;8;9;2,22;"D";59
"29";"Andre Burakovsky";"AUT";1995;2;75;65;9;13;22;13,85;"L";53
"30";"Andrei Markov";"RUS";1978;12;72;135;10;40;50;7,41;"D";81
"31";"Andrej Meszaros";"SVK";1985;10;74;67;7;7;14;10,45;"D";60
"32";"Andrej Nestrasil";"CZE";1991;2;75;82;7;13;20;8,54;"C";54
